timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1663415271076,1043,Sign in - POST,200,OK,Concurrency Thread Group - Endurance tests-ThreadStarter 2-1,text,true,,841,289,2,2,https://qauto2.forstudy.space/api/auth/signin,1036,0,478
1663415271910,709,Sign in - POST,200,OK,Concurrency Thread Group - Endurance tests-ThreadStarter 2-2,text,true,,841,289,2,2,https://qauto2.forstudy.space/api/auth/signin,709,0,146
1663415277124,291,Cars brands - GET,200,OK,Concurrency Thread Group - Endurance tests-ThreadStarter 2-1,text,true,,952,280,2,2,https://qauto2.forstudy.space/api/cars/brands,229,0,133
1663415277124,229,Cars brands - GET-0,301,Moved Permanently,Concurrency Thread Group - Endurance tests-ThreadStarter 2-1,text,true,,375,140,2,2,http://qauto2.forstudy.space/api/cars/brands,229,0,133
1663415277355,60,Cars brands - GET-1,200,OK,Concurrency Thread Group - Endurance tests-ThreadStarter 2-1,text,true,,577,140,2,2,https://qauto2.forstudy.space/api/cars/brands,60,0,0
1663415277624,295,Cars brands - GET,200,OK,Concurrency Thread Group - Endurance tests-ThreadStarter 2-2,text,true,,952,280,2,2,https://qauto2.forstudy.space/api/cars/brands,229,0,130
1663415277624,229,Cars brands - GET-0,301,Moved Permanently,Concurrency Thread Group - Endurance tests-ThreadStarter 2-2,text,true,,375,140,2,2,http://qauto2.forstudy.space/api/cars/brands,229,0,130
1663415277854,65,Cars brands - GET-1,200,OK,Concurrency Thread Group - Endurance tests-ThreadStarter 2-2,text,true,,577,140,2,2,https://qauto2.forstudy.space/api/cars/brands,65,0,0
1663415278405,768,Sign in - POST,200,OK,Performance tests 4-2,text,true,,837,289,1,3,https://qauto2.forstudy.space/api/auth/signin,768,0,119
1663415280417,176,Add car - GET,200,OK,Concurrency Thread Group - Endurance tests-ThreadStarter 2-1,text,true,,895,306,2,3,https://qauto2.forstudy.space/api/cars/models?carBrandId=1,97,0,0
1663415280417,97,Add car - GET-0,301,Moved Permanently,Concurrency Thread Group - Endurance tests-ThreadStarter 2-1,text,true,,388,153,2,3,http://qauto2.forstudy.space/api/cars/models?carBrandId=1,97,0,0
1663415280515,78,Add car - GET-1,200,OK,Concurrency Thread Group - Endurance tests-ThreadStarter 2-1,text,true,,507,153,2,3,https://qauto2.forstudy.space/api/cars/models?carBrandId=1,78,0,0
1663415280920,184,Add car - GET,200,OK,Concurrency Thread Group - Endurance tests-ThreadStarter 2-2,text,true,,895,306,2,4,https://qauto2.forstudy.space/api/cars/models?carBrandId=1,133,0,0
1663415280920,133,Add car - GET-0,301,Moved Permanently,Concurrency Thread Group - Endurance tests-ThreadStarter 2-2,text,true,,388,153,2,4,http://qauto2.forstudy.space/api/cars/models?carBrandId=1,133,0,0
1663415281053,51,Add car - GET-1,200,OK,Concurrency Thread Group - Endurance tests-ThreadStarter 2-2,text,true,,507,153,2,4,https://qauto2.forstudy.space/api/cars/models?carBrandId=1,51,0,0
1663415280907,844,Sign in - POST,200,OK,Performance tests 4-1,text,true,,841,289,2,4,https://qauto2.forstudy.space/api/auth/signin,844,0,158
1663415284175,286,Cars brands - GET,200,OK,Performance tests 4-2,text,true,,952,280,2,4,https://qauto2.forstudy.space/api/cars/brands,228,0,128
